v1_id,v3_id,restaurant_name,record_length,num_blobs
224,105,Ginkgo Garden,8,0
387,245,Orchid Sushi,8,0
90,8,Lucky Star Chinese Food,6,0
203,87,Champa Thai Cuisine,8,0
239,119,Hung Mein,392349,480
