Name,Location
Pho Dau Bo Restaurant - Kitchener,"685 Fischer Hallman Rd, Unit G"
Pizza Bravo,"108, boul Lorrain"
Pizza Joanna,229 Boulevard Saint-RenÃ© Ouest
Pizza Lovers Hunt Club,800 Hunt Club Road
Pizza Maisonneuve,574 Boulevard Saint-Joseph
Pizza Marie,4 Rue d'Orléans
Pizza des Hautes Plaines,760 Boulevard des Hautes-Plaines
PizzaRama,"253, boul Maloney"
Pizzalicious,1009 Merivale Rd
Poutinerie QuÃ©becurds Gatineau,643 Boulevard Saint-RenÃ© O
Poutinerie QuÃ©becurds Hull,455 Boulevard Riel
Prima Pizza,26 Northside Road
Rangoli,2491 St-Joseph Blvd
Restaurant Chez Gerry,"9, rue Therien"
Restaurant Le Choix,"139, rue Principale"
River Pizza,4042 Innes Road
Riverside Pizzeria,3679 Riverside Dr
Roulas Grecque et Pizza,"245, rue de Cannes"
Sachi Sushi,"4931, rue Beaubien E"
Sala Thai,2666 Alta Vista Dr
Season's Pizza,725 Somerset Street West
Shaan Tandoori,"2550, boul LapiniÃ¨re"
Souvlaki Souvlaki,1216 Bank St
Supreme Pizzeria,380 Chemin Vanier
Supreme Pizzeria,425 Donald St
Sushi Express Chambly,886 ch de Chambly
Sushi Fleury,2481 Fleury Est
Sushi Presse,"6497, rue Beaubien Est"
Sushiyana,34 boul mont bleu
The Original Georgie's,1661 Carling Ave
Ting's Kitchen,3-701 Eagleson Rd
Tony's Pizza,7772 Jeanne d'Arc Blvd
Vanier Pizza & Subs,201 Marier Ave
Vieux Hull Pizza,"574, boul Saint-Joseph"
Wandee Thai,40 Beech Street
Xtreme Pizza,125 Preston St
Yorgo's - Nepean,1356 Clyde Ave
iCook Pho You,2006 Robertson Rd
