v2_id,name,address,coords,
"1133","Restaurant Chez Gerry","600 Terry Fox Drive","45.302965,-75.91454|45.307493,-75.900078|45.302784,-75.882998|45.296083,-75.876818|45.292822,-75.887375|45.292309,-75.909777"
"1148","Carlo's Pizza","60 Harmer Ave","45.4252026025,-75.7048988342|45.4098997233,-75.6911659241|45.3970035274,-75.6836128235|45.3923023127,-75.7007789612|45.3842249539,-75.7004356384|45.3768699369,-75.7023239136|45.3638455928,-75.692024231|45.3567291752,-75.6915092468|45.3526277822,-75.7055854797|45.3426143097,-75.7294464111|45.3420110319,-75.7560539246|45.351059524,-75.7624053955|45.3403218198,-75.7872962952|45.3590210006,-75.7950210571|45.3639662024,-75.7833480835|45.383742687,-75.7833480835|45.4133944469,-75.7459259033|45.4174914337,-75.7253265381"
"1285","Sushi Presse","6497, rue Beaubien Est","45.625804,-73.581276|45.615478,-73.596725|45.606352,-73.620758|45.596984,-73.609772|45.581848,-73.589859|45.569832,-73.599815|45.565506,-73.589516|45.559016,-73.570633|45.554208,-73.55381|45.546755,-73.532524|45.584731,-73.509178|45.620761,-73.508148|45.619801,-73.55381"
"1516","Light of India","730 Bank St","45.423415471046,-75.708932876587|45.439076036124,-75.701036453247|45.439076036124,-75.687646865845|45.43401694411,-75.672540664673|45.420764791659,-75.663957595825|45.401483379624,-75.665674209595|45.398349528433,-75.649194717407|45.381230812586,-75.636491775513|45.370619428774,-75.687990188599|45.378819309297,-75.699663162231|45.391840205178,-75.722322463989|45.41449905476,-75.740518569946|45.419559896252,-75.725069046021"
