v2_id,v1_id,name,address
1142,,Milano City Pizza,5511 Manotick Main St
1143,239,Hung Mein,2567 Baseline Rd
1144,,Piper\'s Pizzeria Bar & Grill,1133 St Laurent Blvd
1145,241,Shawarma Rosana,2219 Arch St
1146,242,Chez Gaston Shawarma(stopped delivery),195 Rue Principale
1147,245,Milano,26 Bridge St
1148,246,Carlo\'s Pizza,60 Harmer Ave
1149,247,Roma Pizzeria,1 Rue Hobin Unit 5
1150,248,Milano,471 Hazeldean Rd
1151,249,Restaurant Basha,"73, boul de la Gappe"
1152,251,Lac Vien Vietnamese Restaurant,1580 Dundas St
1153,,Shogun Japanese Steak House & Sushi Bar,1671 Carling Ave
1154,254,Gio Pizza,1896 Prince of Wales Dr
1155,255,Centertown Donair & Pizza,422 Bronson Ave
1156,256,Shawarma De Roza,1896 Prince of Wales Dr
1157,257,Riverside Pizzeria,3679 Riverside Dr
1158,258,Sawa Sushi,250 Centrum Blvd
1159,259,Malone\'s Lakeside Bar & Grill(dropped),1001 Queen Elizabeth Drive
1160,260,Buffalo Bill,1440 Rue de l\'Eglise
1161,262,Pho Dau Bo Restaurant - North York (dropped),4-2437 Finch Ave W
1162,263,Planet Pizza,1009 Merivale Rd
1163,264,Pizza Bravo,"108, boul Lorrain"
1164,265,Pho Kinh Do Vietnamese Thai,650 Woodlawn Rd W
1165,273,Golden Bowl Restaurant,1598 Cyrville Rd
1166,274,House of Greek (dropped),1200 Prince of Wales
1167,275,Tony\'s Pizza,7772 Jeanne d\'Arc Blvd
1168,276,Paradise Shawarma,1441 Ogilvie Rd.
1169,277,Pho Viet 24 (dropped),3415 Dixie Rd Unit 4A
1170,278,Pho Lien Hung,1300 Finch Ave W
1171,280,Pho Dau Bo Restaurant - Kitchener,"685 Fischer Hallman Rd, Unit G"
1172,281,Lorenzo\'s Pizzeria - Pinecrest (closed),1105 Cobden Rd
1173,283,Porteree Pub & Restaurant (closed dropped),583 College St.
1174,284,Miki\'s Pizzeria (Dropped),26 Northside Rd
1175,285,Rosabella Pizza (dropped changed to yessen),2895 Bank St
1176,286,Pho Xua,1768 St. Clair Ave W
1177,287,Basmati,373 Somerset St W
1178,288,Habaybna  (dropped),1581 Bank Street
1179,289,Shawarma Rayan (DROPPED),1611c Bank Street
1180,290,Nhu Lan (dropped),1949 Finch Ave W. Unit C
1181,291,Shawarma Station,2446 Bank St
1182,292,Silk Road Kabob House - Kanata ( closed),4055 Carling Ave Unit 3
1183,293,Ariana Kabab House(dropped),2677 Alta Vista Road
1184,294,Hong Kong Chinese Food Takeout,800 Hunt Club Rd
1185,295,OpenRice Asian Fusion & Lounge,1755 St Laurent Blvd
1186,,King Wok,3891 Innes Rd
1187,297,Buffalo Bills Wings Laval,87 Boulevard des Laurentides
1188,298,Lac Vien Vietnamese Restaurant - Scarborough,2270 Markham Rd
1189,299,Lac Vien Vietnamese Restaurant,141 Cartwright Ave
1190,300,Toto Pizzeria Lachine(DROPPED),1380 Notre Dame
1191,303,Colonnade City Pizza,2564 St. Joseph Blvd
1192,,Hockey Sushi ,4055 Carling Ave
1193,305,Urban Turban,591 March Rd
1194,306,Winner House,1 Tartan Drive
1195,307,La Shish (dropped),1383 Clyde Ave
1196,308,Gloria\'s Pizza,1588 Walkley Rd
1197,310,Pho Com Vietnam (moved dropped),1991-A Finch Ave W
1198,311,Hao Sushi (On Hold),1580 Merivale Rd
1199,312,Lucky King Take Out,1134 Cadboro Rd
1200,313,Indian Biriyani House,1589 Bank St
1201,314,Brother Wu,1060 St Laurent Blvd
1202,315,Jwaya (DROPPED),5831 Boul. Monk
1203,,Red Chili Garden,178 McArthur Ave
1204,317,Pho Orchid,124 Chestnut St
1205,318,Indian Punjabi Clay Oven,6-4055 Carling Ave.
1206,319,Al-Amine (DROPPED),3549 Av Lacombe
1207,320,Metro Pizza (dropped),4886 Boul. Saint Charles
1208,321,Forno\'s Pizzeria (Dropped),683 Bronson Ave
1209,322,Eastern City Restaurant (sold),2701 St Joseph Boul
1210,323,Vietnamese Noodle House,121 Preston St
1211,,Zeewan Eatery,2916 Carling Ave
1212,325,Pavarazzi,491 Somerset St W
1213,,Al\'s Diner,834 Clyde Ave
1214,327,Lai Lai Chinese Food,449 McArthur Ave
1215,328,Milano,5925 Perth St.
1216,329,Jardin Thai ( dropped),"270, boul Labelle"
1217,330,Pizza Dorval Express (dropped),"208, ave Dorval"
1218,331,test,
1219,332,Silk Road Kabob House,1021 Cyrville Rd
1220,333,Chez Antonio Restaurant(sold now chez villa),"30, rue de Valcourt, unité 30"
1221,334,Colonnade Pizza,461 Hazeldean Rd
1222,335,Aahar The Taste of India,727 Churchill Ave
1223,336,Wing Wah Take Out & Delivery (closed),261 Centrepointe Dr
1224,337,Pho Bo Ga King - Somerset,778 Somerset St W
1225,339,El-Indio Inc (CLOSED),1 Rideaucrest Drive
1226,340,Cheezy Pizza & Pasta,111 Albert St
1227,341,Tandoori Fusion,2130 Robertson Rd
1228,342,Chez Raffino (DROPPED),"4742, ch de la Cote-des-Neiges"
1229,343,Du Barry Restaurant (CLOSED),"343, boul Greber"
1230,344,Mont Liban Bakery & Shawarma,351 Montreal Rd
1231,345,Maximo\'s Pizza & Donair (dropped sold ),11729 Jasper Ave
1232,346,Papa Pizza - Gatineau Est,"257, boul Maloney"
1233,347,Buffalo Bill Wings Montreal,5248 ch Queen Mary
1234,348,Buffalo Bill,232 Rue Jean Talon Ouest
1235,349,Pizz\'Ami (dropped),"2266, ch de Chambly"
1236,350,Erman Pizza,"3628, av des Églises "
1237,351,Roma Pizza and Donair (DROPPED),11819 40 Ave NW
