id;course;restaurant;sku;name;ingredients;price;order;quantity;hasCustomisation;ciHeader;minci;maxci;freeci;displayOrderCI;hasSideDish;sideDishHeader;minsd;maxsd;freeSD;displayOrderSD;hasDrinks;drinksHeader;mindrink;maxdrink;freeDrink;displayOrderDrink;hasExtras;extraHeader;minextras;maxextras;freeExtra;displayOrderExtras;isSideDish;showSDInMenu;isDrink;hasBread;breadHeader;displayOrderBread;hasDressing;dressingHeader;mindressing;maxdressing;freeDressing;displayOrderDressing;hasSauce;sauceHeader;minsauce;maxsauce;freeSauce;displayOrderSauce;hasCookMethod;cmHeader;mincm;maxcm;freecm;displayOrderCM;isCombo;useSteps;mincombo;maxcombo;displayOrderCombo;menuType;image;lang;showInMenu;showPizzaIcons;checkoutItems;upsell
5330;862;103;NULL;"3 Toppings";;18.00,26.00,34.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5401;877;104;NULL;"1 Topping";;16.00,22.00,30.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5402;877;104;NULL;"2 Toppings";;17.00,24.00,32.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5403;877;104;NULL;"3 Toppings";;18.00,26.00,34.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5404;884;95;NULL;"2 Subs Deal with 2 Drinks HIDE";"All subs are dressed with lettuce, tomatoes,pickles and house garlic sauce, or you can customize them in the pop up window.";18.00;11;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;Y;"Choose 2 Drinks";2;2;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;N;N;N;n
5405;885;104;NULL;"2 Subs Deal";"
2 subs at special price.No Custom Ingredients for Pizza Sub and Meatball Sub.
";15.95;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
5406;886;102;NULL;"2 Subs Deal";"2 subs at special price. No Custom Ingredients for Pizza Sub and Meatball Sub.";15.95;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
5407;887;103;NULL;"2 Subs Deal";"2 subs at special price. No Custom Ingredients for Pizza Sub and Meatball Sub.";15.95;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;N;Drinks;0;0;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
5478;896;105;NULL;"1 Topping";"2 Pizzas with 1 topping each. Divide your toppings across your pizzas any way you like.";16.00,22.00,30.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
5479;896;105;NULL;"2 Toppings";"2 pizzas with 2 toppings each. Divide your toppings across your pizzas any way you like.";17.00,24.00,32.00;0;"2 x Small (9"),2 x Medium (12"),2 x Large (15")";N;;0;0;0;2;N;;0;0;0;5;N;Drinks;0;0;0;6;N;;0;0;0;7;N;N;N;N;;1;N;;0;0;0;3;N;;0;0;0;4;N;;0;1;0;0;Y;Y;0;0;8;;;en;Y;N;N;n
