id,restaurant_id,language_id,group_name,group_type,items,enabled,added_by,added_at,disabled_by,disabled_at
142,1605,1,Pizza Toppings,custom_ingredient,,y,24,2020-09-04 06:17:15,,
143,1605,1,Dipping Sauces,dip,,n,24,2020-09-04 06:19:50,,
144,1605,1,Dipping Sauces,dip,,y,24,2020-09-04 06:19:53,,
145,1605,1,Dipping Sauces,dip,,n,24,2020-09-04 06:19:57,,
146,1605,1,Drinks,drink,,y,24,2020-09-04 07:42:01,,
147,1605,1,Premium Toppings,premium_toppings,,y,24,2020-09-04 07:57:14,,
148,1605,1,Wings Sauces,sauce,,y,24,2020-09-04 08:00:21,,
149,1608,1,Shawarma & Donair Sauces,sauce,,y,40,2020-12-07 17:07:57,,
150,1608,1,Burgers Extras,extra,,y,40,2020-12-07 17:15:45,,
151,1608,1,Pasta Extras,extra,,y,40,2020-12-07 17:19:21,,
152,1608,1,Salad Dressings,dressing,,y,40,2020-12-07 17:38:26,,
153,1608,1,Wings Sauces,sauce,,y,40,2020-12-07 17:43:53,,
154,1608,1,Donair Sub Sauces,sauce,,y,40,2020-12-07 17:54:59,,
155,1608,1,Pizza Toppings,custom_ingredient,,y,40,2020-12-07 18:00:37,,
156,1608,1,Crust Type,crust,,y,40,2020-12-07 18:01:57,,
157,1608,1,Crust Type without GF,crust,,y,40,2020-12-07 18:02:17,,
158,1608,1,Pre,premium_toppings,,n,40,2020-12-07 18:11:52,,
159,1608,1,Premium Toppings,premium_toppings,,y,40,2020-12-07 18:12:20,,
160,1608,1,Pizza Dips,dip,,y,40,2020-12-07 18:12:55,,
161,1608,1,Drinks with Prices,drink,,y,40,2020-12-07 18:13:26,,
162,1611,1,Add Chicken SALADS,custom_ingredient,,y,24,2021-05-26 11:49:59,,
163,1611,1,Wings Sauces,sauce,,y,24,2021-05-26 12:01:07,,
164,1611,1,Drinks Can,drink,,y,24,2021-05-26 12:04:34,,
165,1611,1,Side Dishes for COMBOS,side_dish,,y,24,2021-05-26 12:05:19,,
166,1611,1,Extras for BURGERS,extra,,y,24,2021-05-26 12:11:31,,
167,1612,1,Crust Type,crust,,y,24,2021-12-08 13:22:56,,
168,1612,1,Crust Type without GF and Keto,crust,,y,24,2021-12-08 13:23:14,,
169,1612,1,Pizza Toppings,custom_ingredient,,y,24,2021-12-08 13:25:04,,
170,1612,1,Premium Toppings,premium_toppings,,y,24,2021-12-08 13:27:17,,
171,1612,1,Dipping Sauces,dip,,y,24,2021-12-08 13:29:07,,
172,1612,1,Vegan Nondairy Lactose Free Cheese,dressing,,y,24,2021-12-09 14:54:12,,
173,1612,1,Drinks + Aquafina with PRICES,drink,,y,24,2021-12-09 14:56:37,,
174,1614,1,Crust Type,crust,,y,24,2022-01-05 18:00:46,,
175,1613,1,Crust Type,crust,,y,24,2022-01-05 18:00:54,,
176,1615,1,Extra Skewer for Souvlaki and Brochette,extra,,y,44,2022-01-10 18:11:40,,
177,1615,1,Taco Dinner Tortillas,crust,,y,44,2022-01-10 18:31:50,,
178,1615,1,Meat for Taco Dinner,custom_ingredient,,y,44,2022-01-10 18:32:31,,
179,1615,1,Sides for Taco Dinner,side_dish,,y,44,2022-01-10 18:32:51,,
180,1615,1,Fajita Meat Options,custom_ingredient,,n,44,2022-01-10 18:39:58,,
181,1615,1,Fajita Meat Options,custom_ingredient,,y,44,2022-01-10 18:40:15,,
182,1615,1,Wing Sauces,sauce,,y,44,2022-01-10 19:08:15,,
183,1615,1,Chicken Sauces,sauce,,y,44,2022-01-10 19:09:08,,
184,1615,1,Meat or Cheese for Subs,extra,,y,44,2022-01-10 19:27:30,,
185,1615,1,Sauce for Side Orders,sauce,,y,40,2022-01-10 19:54:12,,
186,1615,1,Cheese Sticks Sauces,sauce,,y,40,2022-01-10 19:55:57,,
187,1615,1,Dips for Pizza,dip,,y,44,2022-01-10 20:08:17,,
188,1615,1,Pizza Toppings,custom_ingredient,,y,44,2022-01-10 20:10:14,,
189,1615,1,Premium Pizza Toppings,premium_toppings,,y,44,2022-01-10 20:11:01,,
190,1616,1,Poutine Toppings,custom_ingredient,,y,44,2022-01-11 17:48:08,,
191,1616,1,Poutine Substitution for Platters,side_dish,,y,44,2022-01-11 18:05:46,,
192,1616,1,Salad Dressings,dressing,,y,44,2022-01-11 18:19:41,,
193,1616,1,Shortbread Flavors,desert,,y,44,2022-01-11 18:26:43,,
194,1616,1,Wing Sauces,sauce,,y,44,2022-01-11 18:40:01,,
195,1616,1,Wing Dips,dip,,y,44,2022-01-11 18:40:19,,
196,1616,1,Sub Sauces,sauce,,y,44,2022-01-11 18:55:21,,
197,1616,1,Pizza Veggie Toppings,custom_ingredient,,y,44,2022-01-11 19:18:48,,
198,1616,1,Premium Pizza Toppings,premium_toppings,,y,44,2022-01-11 19:19:56,,
199,1616,1,Dips for Pizza,dip,,y,44,2022-01-11 19:24:27,,
200,1616,1,Lana's Sauce,sauce,,y,44,2022-01-11 20:12:34,,
201,1616,1,Sam's Sauce,sauce,,y,44,2022-01-11 20:12:51,,
202,1616,1,Pizza Crusts,crust,,y,44,2022-01-12 17:47:43,,
203,1616,1,Crust Type by G,crust,,y,40,2022-01-12 17:53:52,,
204,1616,1,g2,crust,,y,40,2022-01-12 18:22:22,,
205,1617,1,Family dinner side,side_dish,,y,44,2022-01-13 18:02:57,,
206,1617,1,Miscellaneous Sauces,sauce,,y,44,2022-01-13 18:23:20,,
207,1292,1,Breaded Shrimp for Combos,extra,,y,44,2022-01-13 22:31:40,,
208,1292,1,Side Order Sauces,sauce,,y,44,2022-01-14 17:45:32,,
209,1076,1,Extras for Specialty Noodles,extra,,y,44,2022-01-17 18:36:43,,
210,1618,1,Wing Sauces,sauce,,y,44,2022-01-20 17:50:37,,
211,1618,1,Wing Dips,dip,,y,44,2022-01-20 17:51:02,,
212,1618,1,Salad Extras,extra,,y,44,2022-01-20 18:23:13,,
213,1618,1,Protein for Souvlaki Platters,cook_method,,y,44,2022-01-20 18:45:19,,
214,1618,1,Dips for Pizza,dip,,y,44,2022-01-21 16:11:35,,
215,1618,1,Pizza Toppings,custom_ingredient,,y,44,2022-01-21 16:12:33,,
216,1618,1,Premium Pizza Toppings,premium_toppings,,y,44,2022-01-21 16:13:12,,
217,1618,1,Pop Cans,drink,,y,44,2022-01-21 16:35:17,,
218,1618,1,Chicken Substitution for Gyro Special,cook_method,,y,44,2022-01-21 16:44:20,,
219,1618,1,Pita Wrap Choices,cook_method,,y,44,2022-01-21 16:45:55,,
220,1618,1,Salads for Daily Specials,side_dish,,y,44,2022-01-21 17:04:49,,
221,1619,1,Extras for Salads,extra,,y,44,2022-01-25 20:03:56,,
222,1619,1,Wing Sauces,sauce,,y,44,2022-01-25 20:08:47,,
223,1619,1,Extras for Pastas,extra,,y,44,2022-01-25 20:23:24,,
224,1619,1,Custom Ingredients,custom_ingredient,,y,44,2022-01-25 20:32:00,,
225,1619,1,Premium Pizza Toppings,premium_toppings,,y,44,2022-01-25 20:32:21,,
226,1620,1,Custom Ingredients for Pizza,custom_ingredient,,y,44,2022-01-26 18:02:05,,
227,1620,1,Wing Sauces,sauce,,y,44,2022-01-26 18:10:57,,
228,1620,1,Garlic Bread Extras,extra,,y,44,2022-01-26 18:26:22,,
229,1621,1,Custom Ingredients for Pizza,custom_ingredient,,n,44,2022-01-27 18:48:19,,
230,1621,1,Custom Ingredients for Pizza,custom_ingredient,,n,44,2022-01-27 18:48:27,,
231,1621,1,Custom Ingredients for Pizza,custom_ingredient,,n,44,2022-01-27 18:48:48,,
232,1621,1,Custom Ingredients for Pizza,custom_ingredient,,y,44,2022-01-27 18:49:03,,
233,1621,1,Custom Ingredients for Pizza,custom_ingredient,,y,44,2022-01-27 18:49:23,,
234,1621,1,Chicken for Salad,extra,,y,44,2022-01-27 19:00:51,,
235,1621,1,Side Upgrades for Burgers,side_dish,,y,44,2022-01-27 19:14:20,,
236,1621,1,Wing Sauces,sauce,,y,44,2022-01-27 19:25:18,,
237,1621,1,Fries Upgrade,side_dish,,y,44,2022-01-27 19:29:49,,
238,1621,1,Salad for Main Dishes,side_dish,,n,44,2022-01-27 19:37:35,,
239,1621,1,Salad for Main Dishes,extra,,y,44,2022-01-28 18:47:49,,
240,1621,1,Dips for Pizza,dip,,y,44,2022-01-28 18:59:38,,
241,1621,1,Premium Pizza Toppings,premium_toppings,,y,44,2022-01-28 19:01:34,,
242,1621,1,Crusts,crust,,y,44,2022-01-28 19:06:36,,
243,1621,1,Pop Cans,drink,,y,44,2022-01-28 19:27:49,,
244,1621,1,2L Pop,drink,,y,44,2022-01-28 19:28:04,,
245,1621,1,Large Side for Meal Deal,extra,,y,44,2022-01-28 19:44:11,,
246,1623,1,Beignets Topping,cook_method,,y,44,2022-01-31 18:24:56,,
247,1623,1,Version Poutine,side_dish,,y,44,2022-01-31 18:28:37,,
248,1622,1,Extras pour Nachos,extra,,y,44,2022-02-01 18:40:41,,
249,1622,1,Extras pour Hamburger,extra,,y,44,2022-02-01 18:47:03,,
250,1622,1,Beignets Topping,dressing,,y,44,2022-02-01 18:55:35,,
251,1622,1,Sans Gluten,crust,,y,44,2022-02-02 18:36:46,,
252,1622,1,Trempettes,dip,,y,44,2022-02-02 18:37:12,,
253,1622,1,Double Pizza,extra,,y,44,2022-02-02 18:39:00,,
254,1622,1,Wing Sauces,sauce,,y,44,2022-02-02 20:16:11,,
255,1624,1,Souvlaki Stick Side,side_dish,,y,44,2022-02-07 18:18:43,,
256,1624,1,Protein for Salads,extra,,y,44,2022-02-07 18:30:26,,
257,1032,1,Side Order Sauces,sauce,,y,44,2022-02-10 17:20:32,,
258,1066,1,Side Order Sauces,sauce,,y,44,2022-02-13 22:38:48,,
259,1066,1,Chicken Szechuan Cooking Method,cook_method,,y,44,2022-02-13 22:53:23,,
260,1066,1,Soup for Dinner C,side_dish,,y,44,2022-02-13 23:21:00,,
261,1511,1,Meat Choice Protein,custom_ingredient,,y,44,2022-02-16 18:22:07,,
262,1511,1,Sauces for Extra Sauce,sauce,,y,44,2022-02-16 19:08:52,,
263,1270,1,Side for lunch combo,side_dish,,y,44,2022-02-17 18:46:08,,
264,1270,1,Side Sauces,sauce,,y,44,2022-02-17 19:17:24,,
265,1270,1,Escolar Choice,cook_method,,y,44,2022-02-17 19:46:47,,
266,1096,1,Soft Drink Cans,extra,,y,44,2022-02-21 17:41:11,,
267,1096,1,Soups for Family Dinners,side_dish,,y,44,2022-02-21 17:41:26,,
268,1625,1,Protein for main dishes,custom_ingredient,,y,44,2022-02-22 18:22:26,,
269,1625,1,Protein for Pad Thai,custom_ingredient,,y,44,2022-02-22 18:24:44,,
270,1625,1,Protein for Lunch Specials,custom_ingredient,,y,44,2022-02-22 18:25:02,,
271,1625,1,Chef Tip,extra,,y,44,2022-02-22 18:28:02,,
272,1165,1,Small Sauces,sauce,,y,44,2022-02-23 19:27:02,,
273,1165,1,Large Sauces,sauce,,y,44,2022-02-23 19:27:10,,
274,1199,1,Sauces for Combos,sauce,,y,44,2022-02-23 20:01:10,,
275,1199,1,Sauce for Chicken Balls,sauce,,y,44,2022-02-24 17:04:11,,
276,1199,1,Sauce for Almond Soo Guy,sauce,,y,44,2022-02-24 17:04:35,,
277,1199,1,Protein for Chop Suey,custom_ingredient,,y,44,2022-02-24 17:26:09,,
278,1199,1,Soft Drink Cans,drink,,y,44,2022-02-24 17:26:25,,
279,1199,1,Dry Noodles for Chop Suey,extra,,y,44,2022-02-24 17:28:01,,
280,1171,1,Spice Level,cook_method,,y,44,2022-02-25 18:53:30,,
281,1171,1,Items for Steamed Rice,side_dish,,y,44,2022-02-25 19:22:34,,
282,1626,1,Soft Drink Cans,drink,,y,44,2022-02-25 20:30:57,,
283,1626,1,Juices,drink,,y,44,2022-02-25 20:31:17,,
284,1626,1,Chicken and Shrimp for Stir Fry,custom_ingredient,,y,44,2022-02-25 20:33:05,,
285,1626,1,Ginger Stir-Fry Protein,custom_ingredient,,y,44,2022-02-25 20:33:21,,
286,1626,1,Fried Rice Options,custom_ingredient,,n,44,2022-02-25 20:33:34,,
287,1626,1,Fried Rice Options,custom_ingredient,,y,44,2022-02-25 20:33:39,,
288,1536,1,Wing Sauces,sauce,,y,44,2022-02-28 19:18:58,,
289,1536,1,Build Your Own Main Dishes,side_dish,,y,44,2022-02-28 19:26:58,,
290,1536,1,Build Your Own Rice Dishes,extra,,y,44,2022-02-28 19:27:09,,
291,1039,1,Pop Cans,drink,,y,44,2022-03-01 20:32:43,,
292,1039,1,Extra Sauces,sauce,,y,44,2022-03-01 20:33:22,,
293,1039,1,Roll up rice paper protein.,custom_ingredient,,y,44,2022-03-01 20:35:27,,
294,1039,1,Protein for Vermicelli,custom_ingredient,,y,44,2022-03-01 20:36:00,,
295,1039,1,Protein for Rice Dishes,custom_ingredient,,y,44,2022-03-01 20:36:39,,
296,1039,1,Topical Beef Leaf Rolls,custom_ingredient,,y,44,2022-03-01 20:37:44,,
297,1039,1,Protein for Noodle Soups,custom_ingredient,,y,44,2022-03-01 20:38:55,,
298,1039,1,Protein for Pad Thai,custom_ingredient,,y,44,2022-03-01 20:39:52,,
299,1627,1,Protein for Soups,custom_ingredient,,y,44,2022-03-03 19:52:39,,
300,1627,1,Dinner 1 protein,custom_ingredient,,y,44,2022-03-03 19:53:06,,
301,1627,1,Dinner 2 protein,custom_ingredient,,y,44,2022-03-03 19:53:12,,
302,1627,1,Protein for Yum Salad,custom_ingredient,,y,44,2022-03-03 20:01:05,,
303,1627,1,Seafood 25.,custom_ingredient,,y,44,2022-03-03 20:04:58,,
304,1627,1,Seafood 23.,custom_ingredient,,y,44,2022-03-03 20:05:07,,
305,1627,1,"Chicken, pork, beef",custom_ingredient,,y,44,2022-03-03 20:18:12,,
306,1627,1,"Chicken, shrimp",custom_ingredient,,y,44,2022-03-03 20:18:25,,
307,1627,1,"Chicken, beef",custom_ingredient,,y,44,2022-03-03 20:18:35,,
308,1627,1,"Chicken, pork",custom_ingredient,,y,44,2022-03-03 20:19:08,,
309,1089,1,Thai Special Protein,custom_ingredient,,y,44,2022-03-03 20:33:07,,
310,1089,1,Soft Drinks,drink,,y,44,2022-03-03 20:37:12,,
311,1089,1,Combination Plates Dishes,side_dish,,y,44,2022-03-04 17:48:23,,
312,1143,1,Sauce for Chicken Balls,sauce,,y,44,2022-03-07 19:22:31,,
313,1143,1,Sauce for Crispy Shrimp,sauce,,y,44,2022-03-07 19:35:49,,
314,1628,1,Nuts for Mixed Vegetables,custom_ingredient,,y,44,2022-03-08 19:12:21,,
315,1628,1,Dry Noodle for Chop Suey,extra,,y,44,2022-03-08 19:22:15,,
316,1628,1,Protein for Lo Mein,custom_ingredient,,y,44,2022-03-08 19:32:06,,
317,1628,1,"Thai chicken,beef,shrimp,vegetable",custom_ingredient,,y,44,2022-03-08 19:41:26,,
318,1628,1,Thai Protein,custom_ingredient,,y,44,2022-03-08 19:41:44,,
319,1628,1,Thai Protein without bbq,custom_ingredient,,y,44,2022-03-08 19:41:58,,
320,1294,1,Protein for Jalfrazi,custom_ingredient,,y,44,2022-03-09 18:55:29,,
321,1294,2,Protein pour Jalfrezi,custom_ingredient,,y,44,2022-03-09 19:23:19,,
322,1629,1,Side Order Sauces,sauce,,y,44,2022-03-10 17:55:47,,
323,1205,1,Shrimp Tikka Masala Peppers,custom_ingredient,,y,44,2022-03-14 18:17:51,,
324,1205,1,Fish Seafood Options,custom_ingredient,,y,44,2022-03-14 18:18:19,,
325,1630,1,"Chicken, Beef, Pork",custom_ingredient,,y,44,2022-03-15 18:05:44,,
326,1630,1,"Chicken, Beef",custom_ingredient,,y,44,2022-03-15 18:05:49,,
327,1630,1,"Shrimp, Squid",custom_ingredient,,y,44,2022-03-15 18:05:55,,
328,1630,1,Chicken,custom_ingredient,,n,44,2022-03-15 18:06:07,,
329,1631,1,Sauces,sauce,,y,44,2022-03-15 18:29:16,,
330,1631,1,Soft Drink Cans,drink,,y,44,2022-03-15 18:29:34,,
331,1064,1,Soups for Dinners,side_dish,,y,44,2022-03-16 17:01:10,,
332,1064,1,"Chicken, Beef",custom_ingredient,,y,44,2022-03-16 17:24:55,,
333,1064,1,Rice Roll Protein,custom_ingredient,,y,44,2022-03-16 17:25:28,,
334,1064,1,"Beef, Pork",custom_ingredient,,y,44,2022-03-16 17:31:35,,
335,1064,1,Chicken Sauce,sauce,,y,44,2022-03-16 17:39:26,,
336,1064,1,"Beef, Fish",custom_ingredient,,y,44,2022-03-17 18:30:51,,
337,1064,1,Shrimp Style,cook_method,,y,44,2022-03-17 18:31:07,,
338,1064,1,Crab Sauce,sauce,,y,44,2022-03-17 18:34:15,,
339,1064,1,"Soya, Sliced Chicken",custom_ingredient,,y,44,2022-03-17 18:34:51,,
340,1064,1,"Pork, Chicken, Beef",custom_ingredient,,y,44,2022-03-17 19:17:03,,
341,1126,1,rice paper wrap protein,custom_ingredient,,y,44,2022-03-21 17:00:35,,
342,1126,1,"Chicken,Pork,Beef",custom_ingredient,,y,44,2022-03-21 17:23:57,,
343,1273,1,Chicken Type,cook_method,,y,44,2022-03-22 17:15:38,,
344,1516,1,Tandoori Masala Protein,custom_ingredient,,y,44,2022-03-23 17:06:19,,
345,1516,1,Tikka Protein,custom_ingredient,,y,44,2022-03-23 17:08:10,,
346,1516,1,Main Dishes Protein,custom_ingredient,,y,44,2022-03-23 17:09:46,,
347,1516,1,Biryani Protein,custom_ingredient,,y,44,2022-03-23 17:11:01,,
348,1632,1,Bacon for Crazy Bread,extra,,y,44,2022-03-24 17:16:13,,
349,1632,1,Heat for Nachos,cook_method,,y,44,2022-03-24 17:16:43,,
350,1632,1,Upgrade to Poutine,side_dish,,y,44,2022-03-24 17:32:44,,
351,1632,1,Wing Sauces,sauce,,y,44,2022-03-24 17:36:47,,
352,1632,1,Pop Cans,drink,,y,44,2022-03-24 18:04:53,,
353,1632,1,Custom ingredients for Pizza,custom_ingredient,,y,44,2022-03-25 17:32:05,,
354,1632,1,Custom for Pizza 3.00,custom_ingredient,,n,44,2022-03-25 17:32:13,,
355,1632,1,Premium Pizza Toppings,premium_toppings,,y,44,2022-03-25 17:34:36,,
356,1632,1,Pizza Crusts,crust,,y,44,2022-03-25 17:35:53,,
357,1632,1,Dips for Pizza,dip,,y,44,2022-03-25 17:36:04,,
358,1039,1,Noodle Soups Extras,extra,,y,40,2022-05-30 05:51:57,,
359,1039,1,Vermicelli Extras,extra,,y,40,2022-05-30 05:58:16,,
360,1039,1,Dish of Rice and Rollup Extras,extra,,y,40,2022-05-30 06:00:35,,
361,1039,1,Noodle Soups Side Dishes,side_dish,,y,40,2022-05-30 06:01:24,,
362,1039,1,Vermicelli  and Rice Side Dishes,side_dish,,y,40,2022-05-30 06:13:06,,
363,1039,1,Rollup Side Dishes,side_dish,,y,40,2022-05-30 06:15:17,,
364,1039,1,Rice or Egg NOODLE,crust,,y,40,2022-05-30 06:17:13,,
365,1039,1,CHOICE OF MEAT for VERMICELLI BOWL/ ROLL UP WITH RICE PAPER,custom_ingredient,,y,40,2022-05-30 06:25:08,,
366,1039,1,ROLL UP WITH RICE PAPER EXTRAS,extra,,y,40,2022-05-30 06:26:48,,
367,1039,1,Extra Meat Skewers Optional,extra,,y,40,2022-05-30 06:29:11,,
368,1039,1,Sour cured pork or Shredded Pork,custom_ingredient,,y,40,2022-05-30 06:30:15,,
369,1511,1,Meat for Dinner Courses,custom_ingredient,,y,40,2022-09-14 07:50:45,,
370,1511,1,Spiciness Level,sauce,,y,40,2022-09-14 07:51:55,,
371,1511,1,Chicken or Shrimp or Tofu,custom_ingredient,,y,40,2022-09-14 07:52:21,,
372,1452,1,Pizza Toppings,custom_ingredient,,y,40,2022-09-19 06:43:39,,
373,1452,1,Premium Toppings,premium_toppings,,y,40,2022-09-19 06:44:16,,
374,1452,1,Crust Type,crust,,y,40,2022-09-19 06:45:22,,
375,1452,1,Dips,dip,,y,40,2022-09-19 07:20:00,,
376,1452,1,Drinks Cans,drink,,y,40,2022-09-19 08:27:09,,
377,1452,1,Poutine Custom Ingredients,custom_ingredient,,y,40,2022-09-19 08:33:33,,
378,1452,1,Salad Dressings,dressing,,y,40,2022-09-19 08:33:58,,
379,1452,1,No Bacon Bits,extra,,y,40,2022-09-19 08:36:40,,
380,1452,1,Subs Extra,custom_ingredient,,y,40,2022-09-19 08:49:42,,
381,1452,1,Donair Sauces,sauce,,y,40,2022-09-19 08:53:16,,
382,1452,1,Upgrade to Poutine,side_dish,,y,40,2022-09-19 08:56:13,,
383,1452,1,Burgers and Cheesburgers,custom_ingredient,,y,40,2022-09-19 08:58:34,,
384,1452,1,Chicken Burges,custom_ingredient,,y,40,2022-09-19 09:01:16,,
385,1452,1,Wings Sauces,sauce,,y,40,2022-09-19 09:05:25,,
386,1452,1,Crust Type without GF,crust,,y,40,2022-09-19 10:17:07,,
387,1452,1,Add Bacon To Crazy Bread,custom_ingredient,,y,40,2022-09-19 12:24:38,,
388,1632,1,Burgers Ingredients,custom_ingredient,,y,40,2022-09-21 09:40:16,,
389,1632,1,Sala Dressings,dressing,,y,40,2022-09-21 09:42:12,,
390,1632,1,No bacon bits please!,extra,,y,40,2022-09-21 10:21:47,,
391,1632,1,Subs Extra,custom_ingredient,,y,40,2022-09-21 10:23:19,,
392,1632,1,Donair Sauces,sauce,,y,40,2022-09-21 10:49:18,,
393,1632,1,Add Bacon,custom_ingredient,,y,40,2022-09-21 10:52:01,,
