id,name,type,course,dish,restaurant,lang,useincombo,isglobal
150,Pizza Dip,sa,0,0,77,en,N,N
151,Bread,br,0,0,77,en,N,N
152,Can Drinks,d,0,0,77,en,N,N
153,Wings Sauce,sa,0,0,77,en,N,N
154,Poutine Cheese,ci,0,0,77,en,N,N
155,Salad Dressing,dr,0,0,77,en,N,N
156,2L pop,d,0,0,77,en,N,N
157,Pizza Topings,ci,0,0,78,en,N,N
158,Pizza sauce,sa,0,0,78,en,N,N
160,b or g olives,br,0,0,78,en,N,N
161,Dressings,dr,0,0,78,en,N,N
162,Pizza,ci,0,0,80,en,N,N
164,Pizza Crust,br,0,0,81,en,N,N
165,wings sauce,sa,0,0,81,en,N,N
167,extra cheese,e,0,0,81,en,N,N
169,donair sauce,sa,0,0,81,en,N,N
170,drinks,d,0,0,82,en,N,N
171,Sandwich Ingrediants,ci,0,0,82,en,N,N
172,Sandwich Sauce,sa,0,0,82,en,N,N
173,extra soup 1.00,e,0,0,83,en,N,N
174,Pizza Ingredients,ci,0,0,85,en,N,N
176,Pizza sauce,sa,0,0,85,en,N,N
177,Crust,br,0,0,85,en,N,N
178,sub dressings,dr,0,0,85,en,N,N
179,extra cheese,e,0,0,85,en,N,N
180,wings sauce,sa,0,0,85,en,N,N
181,chicken fingers sauce,sa,0,0,85,en,N,N
182,fries or baked,sd,0,0,85,en,N,N
183,zuccini sauce,sa,0,0,85,en,N,N
184,potato skin sauce,sa,0,0,85,en,N,N
185,cheese stick sauce,sa,0,0,85,en,N,N
186,skewer,e,0,0,85,en,N,N
187,shawarma sauce,sa,0,0,85,en,N,N
188,mexican sides,sd,0,0,85,en,N,N
189,cheesecake sauce,sa,0,0,85,en,N,N
190,pizza special toppings,ci,0,0,85,en,N,N
191,grilled extras,e,0,0,87,en,N,N
192,soup extras,e,0,0,87,en,N,N
193,grilled extras b d f,e,0,0,87,en,N,N
194,soft drink,d,0,0,87,en,N,N
195,eggnoodle soup,e,0,0,87,en,N,N
196,Crust Type,br,0,0,89,en,N,N
197,Pop Cans,d,0,0,89,en,N,N
198,Pizza Toppings,ci,0,0,89,en,N,N
199,Pizza Sauce,sa,0,0,89,en,N,N
200,dressings,dr,0,0,89,en,N,N
202,Sub extras,ci,0,0,89,en,N,N
203,extra chicken for salad,e,0,0,89,en,N,N
204,Totillas,br,0,0,89,en,N,N
205,rice or fries,sd,0,0,89,en,N,N
206,fajita meat,ci,0,0,89,en,N,N
207,beef or chicken,ci,0,0,89,en,N,N
208,shawarma sauce,sa,0,0,89,en,N,N
209,chicken pork skewer,e,0,0,89,en,N,N
210,chicken finger dip,sa,0,0,89,en,N,N
211,Wings Sauce,sa,0,0,89,en,N,N
212,zucchini sauce,sa,0,0,89,en,N,N
213,potato skins sauce,sa,0,0,89,en,N,N
214,cheese sticks sauce,sa,0,0,89,en,N,N
215,Pizza toppings for specials,ci,0,0,89,en,N,N
216,crust no glutn ,br,0,0,89,en,N,N
217,2 litre pop,d,0,0,89,en,N,N
218,extra chow mein,e,0,0,90,en,N,N
219,extras group,e,0,0,87,en,N,N
220,hamburger toppings,ci,0,0,89,en,N,N
221,extra sauce,sa,0,0,90,en,N,N
222,cm,cm,0,0,56,en,N,N
223,Extra Sauce -QS,sa,0,0,91,en,N,N
224,Cryspy Noodles for Chop Suey,sd,0,0,91,en,N,N
225,S.S  Add Pineapple,ci,0,0,91,en,N,N
226,Pizza Crust,br,0,0,92,en,N,N
227,Create your own,ci,0,0,92,en,N,N
228,Dipping Sauce -side,sa,0,0,92,en,N,N
229,Wings Extra,sd,0,0,92,en,N,N
230,Panzarotti Extra,sd,0,0,92,en,N,N
231,Pasta Napolitana Extra,e,0,0,92,en,N,N
232,Pasta Napolitana andAlfredo (all types) Extra,e,0,0,92,en,N,N
233,Pasta Bolognese Extra,e,0,0,92,en,N,N
234,Pasta Parmigiana Sauce,sa,0,0,92,en,N,N
235,Bread for Sandwiches,br,0,0,92,en,N,N
237,Sandwiches Sauces,sa,0,0,92,en,N,N
239,6 Pop Cans,d,0,0,92,en,N,N
240, Miso Soup  Extra - Until 15:00,e,0,0,93,en,N,N
241,Pizza Toppings,ci,0,0,94,en,N,N
242,Pizza Dips,sa,0,0,94,en,N,N
243,1 Item Pizza Toppings,ci,0,0,94,en,N,N
244,Wings Sauces,sa,0,0,94,en,N,N
245,Garnishings ,ci,0,0,92,en,N,N
246,no bacon bits,ci,0,0,92,en,N,N
247,Pizza Crust type,br,0,0,95,en,N,N
248,Pizza Toppings,ci,0,0,95,en,N,N
249,Pizza Premium  Toppings,ci,0,0,95,en,N,N
250,Nachos Cooking method,cm,0,0,95,en,N,N
251,Spaghetti Mushroom and peppers,ci,0,0,95,en,N,N
252,Salad Dressings,dr,0,0,95,en,N,N
253,Julienne Salad,ci,0,0,95,en,N,N
254,Donair Sub Sauces,sa,0,0,95,en,N,N
255,Platter Extra Bacon,ci,0,0,95,en,N,N
256,Platters Extra Poutine,e,0,0,95,en,N,N
257,Donairs Extra cheese and meat,e,0,0,95,en,N,N
258,No bacon bits,e,0,0,95,en,N,N
259,Burgers and Cheesburgers,ci,0,0,95,en,N,N
260,Chicken Burges,ci,0,0,95,en,N,N
261, Subs Extra,ci,0,0,95,en,N,N
262,Donairs Extra ing,ci,0,0,95,en,N,N
263,Pizza Toppings,ci,0,0,96,en,N,N
264,Pizza Premium Toppings,ci,0,0,96,en,N,N
