ingredient_group_id,ingredient_id,base_price,price_by_size,is_included,display_order
86,816,0.0,,true,9
86,815,0.0,,true,10
87,857,0.0,,true,0
87,858,0.0,,true,1
88,865,0.0,,true,0
88,866,0.0,,true,1
90,868,20.0,,false,0
90,869,20.0,,false,1
91,870,23.0,,false,0
91,871,23.0,,false,1
91,872,23.0,,false,2
91,873,23.0,,false,3
91,874,23.0,,false,4
92,679,2.0,,false,0
92,680,2.0,,false,1
93,890,0.0,,true,0
93,891,0.0,,true,1
93,892,0.0,,true,2
93,893,0.0,,true,3
93,894,0.0,,true,4
93,895,0.0,,true,5
93,896,0.0,,true,6
93,897,0.0,,true,7
93,898,0.0,,true,8
94,877,0.0,,true,0
94,880,0.0,,true,1
94,881,0.0,,true,2
94,882,0.0,,true,3
94,885,0.0,,true,4
95,888,0.0,,true,0
95,899,0.0,,true,1
95,900,0.0,,true,2
96,880,0.0,,true,0
96,881,0.0,,true,1
97,888,0.0,,true,0
97,889,0.0,,true,1
99,901,0.0,,true,0
99,902,0.0,,true,1
100,903,0.0,,true,0
100,904,0.0,,true,1
100,905,0.0,,true,2
100,906,0.0,,true,3
100,907,0.0,,true,4
100,908,0.0,,true,5
100,909,0.0,,true,6
101,880,0.0,,true,0
101,881,0.0,,true,1
101,882,0.0,,true,2
102,883,0.0,,true,0
102,884,0.0,,true,1
103,915,0.0,,true,0
103,914,0.0,,true,1
103,913,0.0,,true,2
103,912,0.0,,true,3
103,911,0.0,,true,4
103,910,0.0,,true,5
103,916,0.0,,true,6
104,875,0.0,,true,0
104,876,0.0,,true,1
104,877,0.0,,true,2
104,878,0.0,,true,3
104,879,0.0,,true,4
105,932,0.0,,true,0
105,933,0.0,,true,1
105,934,0.0,,true,2
106,931,0.0,,true,0
106,936,0.0,,true,1
106,937,0.0,,true,2
106,938,0.0,,true,3
107,939,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,0
107,957,,"{""S"": 1.25, ""M"": 1.75, ""L"": 2.25}",false,1
107,956,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,2
107,955,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,3
107,954,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,4
107,953,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,5
107,952,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,6
107,951,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,7
107,950,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,8
107,949,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,9
107,948,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,10
107,947,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,11
107,946,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,12
107,945,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,13
107,944,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,14
107,943,,"{""S"": 0.6, ""M"": 0.8, ""L"": 1.0}",false,15
