id,course,restaurant,sku,name
26598,3683,330,,2 Moyennes Pizzas et 2 Boissons Gazeuses
26599,3683,330,,2 Grandes Pizzas et 3 Boissons Gazeuses
26600,3683,330,,2 Extra Grande Pizzas et 4 Boissons Gazeuses
26604,3683,330,,1 Petite Pizza avec Sous-Marin
26605,3683,330,,1 Moyenne Pizza avec Sous-Marin
26606,3685,330,,Numéro 1
26608,3685,330,,Numéro 2 
26609,3685,330,, Numéro 3 
26611,3685,330,, Numéro 4 
26612,3685,330,, Numéro 5 
26614,3685,330,,Numéro 6
26615,3685,330,,Numéro 7 
26616,3685,330,,Numéro 8
26618,3687,330,,Plain Pizza
26619,3687,330,,Pepperoni Pizza
26620,3687,330,,Hawaiian Pizza 
26621,3687,330,,All Dressed Pizza
26622,3687,330,,Chick Pizza 
26623,3687,330,,Quebecoise Pizza
26624,3687,330,,Dorval Special Pizza
26625,3687,330,,Mexican Pizza
26626,3687,330,,Vegetarian Pizza
26627,3687,330,,Deluxe Pizza
26628,3687,330,,Meat Lovers Pizza
26629,3687,330,,Chefs Pizza
26630,3687,330,,Chicken Pizza
26631,3687,330,,1 Topping Pizza 
26632,3687,330,,2 Toppings Pizza
26633,3687,330,,3 Toppings Two Pizza Deal
26665,3686,326,,One Topping
26670,3686,326,,Two Toppings
26671,3686,326,,Three Toppings
26711,3701,330,,2 Medium Pizzas with Wings
26712,3701,330,,2 Large Pizzas with Poutine
26713,3701,330,,2 X-Large Pizzas with Fries
26714,3702,330,,Number 1
26715,3702,330,,Number 2
26716,3702,330,, Number 3
26717,3702,330,,Number 4
26719,3702,330,,Number 5
26721,3702,330,,Number 6
";20.49;0;;N;NULL;0;0;0;2;N;NULL;0;0;0;5;Y;Drinks;2;2;0;6;N;NULL;0;0;0;7;N;N;N;N;NULL;1;N;NULL;0;0;0;3;N;NULL;0;0;0;4;N;NULL;0;1;0;0;Y;Y;0;0;8;;NULL;en;Y;N;N;n
26722;3702;330;NULL;Number 7""","1 large pizza 14 (maximum of 3 toppings), 15 chicken wings or 4 pieces chicken and 3 soft drinks 355ml.""",25.49,0,
26723,3702,330,,Number 8
26741,3705,330,,2 Small Pizzas and 2 Soft Drinks
26742,3705,330,,2 Medium Pizzas and 2 Soft Drinks
26744,3705,330,,2 Large Pizzas and 3 Soft Drinks
26745,3705,330,,2 Extra Large Pizzas and 4 Soft Drinks
26748,3705,330,,1 Small Pizza with Salad
26751,3705,330,,1 Medium Pizza with Salad
26758,3705,330,,1 Small Pizza with Submarine
26761,3705,330,,1 Medium Pizza with Submarine
27509,3804,334,,1 Topping
27512,3805,326,,Al’s Big Hit
27814,3839,320,,Petite Pizza Super Promo
27815,3839,320,,Moyenne Pizza Super Combo
27816,3839,320,,Grande Pizza Super Promo
27817,3839,320,,X-Grande Pizza Super Promo
27828,3843,340,,Small Pizza 2 Toppings and Wings
27829,3843,340,,Small Pizza Unlimited Toppings and Wings
27830,3843,340,,Medium Pizza 2 Toppings and Wings
27831,3843,340,,Medium Pizza Unlimited Toppings and Wings
27832,3843,340,,Large Pizza 2 Toppings and Wings
27833,3843,340,,Large Pizza Unlimited Toppings and Wings
29319,4048,350,,Lundi et Mardi En Folie
29479,4074,353,,Spéciaux #14
29564,4076,356,,Pizza Santé
32348,4493,398,,!!!Special E
37966,5214,421,,Combo 6
43957,5980,486,,3 Pizzas with 1 Topping
49311,1934,190,,Three Toppings HIDE
49318,1933,190,,Donair Special
49812,6702,534,,Salmon Teriyaki
51566,6922,535,,Two Toppings
51567,6922,535,,Four Toppings
