combo_group_id,combo_rules
59,"{""item_count"": 2, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 1, ""max"": 1, ""free_quantity"": 0, ""display_order"": 2, ""display_header"": ""Custom Ingredients""}}}"
61,"{""item_count"": 1}"
62,"{""item_count"": 1, ""show_pizza_icons"": true, ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 2, ""max"": 2, ""free_quantity"": 0, ""display_order"": 2, ""display_header"": ""Custom Ingredients""}}}"
64,"{""item_count"": 2, ""show_pizza_icons"": false}"
65,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """"}"
66,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """"}"
67,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Cheo Pizza"", ""modifier_rules"": {""side_dishes"": {""enabled"": true, ""min"": 1, ""max"": 1, ""free_quantity"": 0, ""display_order"": 5, ""display_header"": ""Choose Your Pizza""}}}"
68,"{""item_count"": 3, ""show_pizza_icons"": true, ""display_header"": ""1st Pizza;2nd Pizza;3rd Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 0, ""display_order"": 2, ""display_header"": ""Toppings""}}}"
69,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Choose Three Dips""}"
70,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""Choose any 2 pastas"", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 0, ""display_header"": ""Add Cheese or Meatballs""}}}"
71,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""2 small pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 2, ""display_header"": ""Custom Ingredients""}}}"
74,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": """", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""Choose 3 Pizza Toppings""}}}"
75,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""6 wings""}"
76,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": """"}"
