"id";"v1_id";"added_by";"added_at";"suspend_operation";"suspended_at";"name";"active";"pending";"updated_at";"updated_by"
1088;178;0;"2016-02-25 08:08:34";"0";0;"Willie's Chinese Food";"n";"n";"";0
1089;179;0;"2016-02-25 08:08:34";"0";0;"Number One Chinese Take Out";"n";"y";"";0
1090;180;0;"2016-02-25 08:08:34";"0";0;"Elegant Pizza (Dropped)";"n";"n";"";0
1091;0;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1092;182;0;"2016-02-25 08:08:34";"0";0;"Pizzeria Riverview";"n";"n";"";0
1093;183;0;"2016-02-25 08:08:34";"0";0;"Aylmer BBQ";"n";"n";"";0
1094;184;0;"2016-02-25 08:08:34";"0";0;"Papa Pizza - Hull";"n";"n";"";0
1095;186;0;"2016-02-25 08:08:34";"0";0;"Shawarma and Souvlaki House";"n";"n";"";0
1096;187;0;"2016-02-25 08:08:34";"0";0;"Cathay Restaurants";"n";"y";"";0
1097;188;0;"2016-02-25 08:08:34";"0";0;"Naked Fish Sushi";"n";"n";"";0
1098;189;0;"2016-02-25 08:08:34";"0";0;"Moe's Famous Pizza";"n";"n";"";0
1099;190;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1100;191;0;"2016-02-25 08:08:34";"0";0;"Benji's Vietnamese Cuisine (closed)";"n";"n";"";0
1101;192;0;"2016-02-25 08:08:34";"0";0;"Lorenzo's Pizzeria - Vanier";"n";"n";"";0
1102;193;0;"2016-02-25 08:08:34";"0";0;"House Of Georgie - 'Sorento's'";"n";"n";"";0
1103;194;0;"2016-02-25 08:08:34";"0";0;"Le Maillon Restaurant(sold)";"n";"n";"";0
1104;195;0;"2016-02-25 08:08:34";"0";0;"Pizza la Cite";"n";"n";"";0
1105;197;0;"2016-02-25 08:08:34";"0";0;"Lunasole Restaurant & Bar (Dropped)";"n";"n";"";0
1106;198;0;"2016-02-25 08:08:34";"0";0;"Wei's Noodle House";"n";"n";"";0
1107;0;0;"2016-02-25 08:08:34";"0";0;"Season's Pizza";"n";"n";"";0
1108;200;0;"2016-02-25 08:08:34";"0";0;"The Original Georgie's";"n";"n";"";0
1109;201;0;"2016-02-25 08:08:34";"0";0;"Festival Japan";"n";"n";"";0
1110;202;0;"2016-02-25 08:08:34";"0";0;"Popeye The Chef ( closed)";"n";"n";"";0
1111;203;0;"2016-02-25 08:08:34";"0";0;"Champa Thai Food";"n";"n";"";0
1112;204;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1113;205;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1114;206;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1115;207;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1116;208;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1117;209;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1118;210;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1119;211;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1120;212;0;"2016-02-25 08:08:34";"0";0;"Pho Thu Do (dropped)";"n";"n";"";0
1121;213;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1122;215;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1123;216;0;"2016-02-25 08:08:34";"0";0;"do_not_delete";"n";"n";"";0
1124;0;0;"2016-02-25 08:08:34";"0";0;"Bento Sushi";"n";"n";"";0
1125;218;0;"2016-02-25 08:08:34";"0";0;"Mukut Indian Restaurant";"n";"n";"";0
1126;219;0;"2016-02-25 08:08:34";"0";0;"Lemon Grass Restaurant";"n";"y";"";0
1127;221;0;"2016-02-25 08:08:34";"0";0;"Golden India";"n";"n";"";0
1128;223;0;"2016-02-25 08:08:34";"0";0;"Spice Express";"n";"n";"";0
1129;224;0;"2016-02-25 08:08:34";"0";0;"Ginkgo Garden";"n";"n";"";0
1130;225;0;"2016-02-25 08:08:34";"0";0;"Restaurant Le Choix";"n";"n";"";0
1131;226;0;"2016-02-25 08:08:34";"0";0;"La Bella Pizza";"n";"n";"";0
1132;227;0;"2016-02-25 08:08:34";"0";0;"Familia Pizza";"n";"n";"";0
1133;228;0;"2016-02-25 08:08:34";"0";0;"Restaurant Chez Gerry";"n";"n";"";0
1134;229;0;"2016-02-25 08:08:34";"0";0;"Pizza Mia";"n";"n";"";0
1135;0;0;"2016-02-25 08:08:34";"0";0;"Paesano's Pizzeria";"n";"n";"";0
1136;231;0;"2016-02-25 08:08:34";"0";0;"Papa Pizza - Gatineau Ouest";"n";"n";"";0
1137;232;0;"2016-02-25 08:08:34";"0";0;"New Hong Shing";"n";"n";"";0
1138;234;0;"2016-02-25 08:08:34";"0";0;"Restaurant Laspézia Café";"n";"n";"";0
1139;235;0;"2016-02-25 08:08:34";"0";0;"Chillies Indian Restaurant";"n";"n";"";0
1140;236;0;"2016-02-25 08:08:34";"0";0;"El Greko";"n";"n";"";0
1141;0;0;"2016-02-25 08:08:34";"0";0;"Shawarma's King";"n";"n";"";0
1142;0;0;"2016-02-25 08:08:34";"0";0;"Milano City Pizza";"n";"n";"";0
1143;239;0;"2016-02-25 08:08:34";"0";0;"Hung Mein";"n";"y";"";0
1144;0;0;"2016-02-25 08:08:34";"0";0;"Piper's Pizzeria Bar & Grill";"n";"n";"";0
1145;241;0;"2016-02-25 08:08:34";"0";0;"Shawarma Rosana";"n";"n";"";0
1146;242;0;"2016-02-25 08:08:34";"0";0;"Chez Gaston Shawarma(stopped delivery)";"n";"n";"";0
1147;245;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1148;246;0;"2016-02-25 08:08:34";"0";0;"Carlo's Pizza";"n";"n";"";0
1149;247;0;"2016-02-25 08:08:34";"0";0;"Roma Pizzeria";"n";"n";"";0
1150;248;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1151;249;0;"2016-02-25 08:08:34";"0";0;"Restaurant Basha";"n";"n";"";0
1152;251;0;"2016-02-25 08:08:34";"0";0;"Lac Vien Vietnamese Restaurant";"n";"n";"";0
1153;0;0;"2016-02-25 08:08:34";"0";0;"Shogun Japanese Steak House & Sushi Bar";"n";"n";"";0
1154;254;0;"2016-02-25 08:08:34";"0";0;"Gio Pizza";"n";"n";"";0
1155;255;0;"2016-02-25 08:08:34";"0";0;"Centertown Donair & Pizza";"n";"n";"";0
1156;256;0;"2016-02-25 08:08:34";"0";0;"Shawarma De Roza";"n";"n";"";0
1157;257;0;"2016-02-25 08:08:34";"0";0;"Riverside Pizzeria";"n";"n";"";0
1158;258;0;"2016-02-25 08:08:34";"0";0;"Sawa Sushi";"n";"n";"";0
1159;259;0;"2016-02-25 08:08:34";"0";0;"Malone's Lakeside Bar & Grill(dropped)";"n";"n";"";0
1160;260;0;"2016-02-25 08:08:34";"0";0;"Buffalo Bill";"n";"n";"";0
1161;262;0;"2016-02-25 08:08:34";"0";0;"Pho Dau Bo Restaurant - North York (dropped)";"n";"n";"";0
1162;263;0;"2016-02-25 08:08:34";"0";0;"Planet Pizza";"n";"n";"";0
1163;264;0;"2016-02-25 08:08:34";"0";0;"Pizza Bravo";"n";"n";"";0
1164;265;0;"2016-02-25 08:08:34";"0";0;"Pho Kinh Do Vietnamese Thai";"n";"n";"";0
1165;273;0;"2016-02-25 08:08:34";"0";0;"Golden Bowl Restaurant";"n";"y";"";0
1166;274;0;"2016-02-25 08:08:34";"0";0;"House of Greek (dropped)";"n";"n";"";0
1167;275;0;"2016-02-25 08:08:34";"0";0;"Tony's Pizza";"n";"n";"";0
1168;276;0;"2016-02-25 08:08:34";"0";0;"Paradise Shawarma";"n";"n";"";0
1169;277;0;"2016-02-25 08:08:34";"0";0;"Pho Viet 24 (dropped)";"n";"n";"";0
1170;278;0;"2016-02-25 08:08:34";"0";0;"Pho Lien Hung";"n";"n";"";0
1171;280;0;"2016-02-25 08:08:34";"0";0;"Pho Dau Bo Restaurant - Kitchener";"y";"n";"";0
