v3_id,v3_name,v3_address,v3_version,v2_id,v2_v1_id,v2_name,v2_address,v2_area_count,similarity
437,Papa Joe's Fried Chicken - Downtown,527 Bronson Ave,V1,1462,612,Papa Joe's Fried Chicken - Downtown,527 Bronson Ave,1,100.0%
491,Light of India,730 Bank St,V1,1516,695,Light of India,730 Bank St,1,100.0%
497,Rangoli,2491 St-Joseph Blvd,V1,1522,701,Rangoli,2491 St-Joseph Blvd,1,100.0%
502,New Hong Kong,1433 Woodroffe Ave,V1,1527,707,New Hong Kong,1433 Woodroffe Ave,1,100.0%
507,Pizza Lovers Hunt Club,800 Hunt Club Road,V1,1532,712,Pizza Lovers Hunt Club,800 Hunt Club Road,1,100.0%
511,Egg Roll Factory,261 Centrepointe drive,V1,1536,716,Egg Roll Factory,261 Centrepointe drive,1,100.0%
515,Napolis,81 Richmond Rd,V1,1540,721,Napolis,81 Richmond Rd,1,100.0%
521,Palermo Pizzeria,25 Tapiola Cres,V1,1546,729,Palermo Pizzeria,25 Tapiola Cres,1,100.0%
601,Milano,1589 Main St,V1,1112,204,Milano,14 Main St E,1,85.0%
696,Pizza Maisonneuve,574 Boulevard Saint-Joseph,V1,1509,683,Pizza Maisonneuve,"574, boul Saint-Joseph",1,93.6%
835,Milano,1216 Bank St,V1,1099,190,Milano,2430 Bank St,1,85.0%
924,All Out Burger,2560 Bank Street,V1,1611,\N,All Out Burger Bank St.,2560 Bank Street,1,91.1%
950,Kirkwood Pizza,1078 Merivale Road,V2,1637,\N,Kirkwood Pizza,1078 Merivale Road,1,100.0%
952,River Pizza,4042 Innes Road,V2,1639,\N,River Pizza,4042 Innes Road,1,100.0%
954,Wandee Thai,40 Beech Street,V2,1641,\N,Wandee Thai,40 Beech Street,1,100.0%
960,Cuisine Bombay Indienne,120 Rue Richelieu,V2,1657,\N,Cuisine Bombay Indienne,120 Rue Richelieu,1,100.0%
962,Chicco Pizza & Shawarma Buckingham,1009 Chemin de Masson,V2,1659,\N,Chicco Pizza & Shawarma Buckingham,1009 Chemin de Masson,1,100.0%
963,Chicco Pizza Shawarma Anger,1096 Chemin de Montréal Ouest,V2,1660,\N,Chicco Pizza Shawarma Anger,1096 Chemin de MontrÃ©al Ouest,1,97.9%
964,Chicco Pizza Maloney,842 Boulevard Maloney Est,V2,1661,\N,Chicco Pizza Maloney,842 Boulevard Maloney Est,1,100.0%
965,Chicco Shawarma Maloney,922 Boulevard Maloney Est,V2,1662,\N,Chicco Shawarma Maloney,922 Boulevard Maloney Est,1,100.0%
966,Chicco Pizza de l'Hopital,405 Boulevard de l'Hôpital,V2,1663,\N,Chicco Pizza de l’Hopital,405 Boulevard de l'HÃ´pital,1,97.6%
967,Chicco Pizza St-Louis,1783 Rue Saint-Louis,V2,1664,\N,Chicco Pizza St-Louis,1783 Rue Saint-Louis,1,100.0%
973,Capital Bites,34 Grenfell Crescent,V2,1670,\N,Capital Bites,34 Grenfell Crescent,1,100.0%
974,Pachino Pizza,3515 Albion Road South,V2,1671,\N,Pachino Pizza,3515 Albion Road South,1,100.0%
976,Pizza Marie,4 Rue d'Orléans,V2,1673,\N,Pizza Marie,4 Rue d'OrlÃ©ans,5,95.7%
977,Capri Pizza,4000 Bridle Path Drive,V2,1674,\N,Capri Pizza,4000 Bridle Path Drive,1,100.0%
981,Al-s Drive In,5474 Osgoode Main Street,V2,1678,\N,Al-s Drive In,5474 Osgoode Main Street,1,100.0%
985,Yorgo's - Nepean,1356 Clyde Ave,V1,1406,547,Yorgo's - Nepean,1356 Clyde Ave,2,100.0%
1014,Papa Pizza Val-Des-Monts,"1797, rte du Carrefour",V1,1523,703,Papa Pizza - Val-des-Monts,"1797, rte du Carrefour",1,98.4%
