89,
90,1032
94,1036
95,1037
101,1039
117,1046
124,1052
127,1055
142,1068
143,1069
145,1071
146,1072
161,1079
164,1081
172,1083
175,1086
179,1089
183,1093
184,1094
187,1096
190,1099
192,1101
199,
200,1108
203,1111
204,1112
205,1113
206,1114
207,1115
208,1116
209,1117
211,1119
213,1121
224,1129
225,1130
228,1133
238,
239,1143
245,1147
246,1148
248,1150
255,1155
257,1157
264,1163
275,1167
280,1171
294,1184
312,1199
318,1205
328,1215
334,1221
337,1224
344,1230
350,1236
374,1259
383,1266
387,1270
411,1290
413,1292
415,1294
489,1353
512,1374
513,1375
532,1392
542,1401
612,1462
669,1504
695,1516
701,1522
707,1527
712,1532
716,1536
721,1540
727,1544
729,1546
758,
781,
782,
785,
789,
805,
807,
815,
817,
818,
824,
825,
830,
838,
840,
850,
856,
863,
865,
869,
872,
874,
879,
889,
913,
914,
930,
937,
947,
948,
951,
952,
953,
959,
964,
965,
968,
973,
974,
983,
987,
989,
998,
1025,
1027,
1028,
1032,
1033,
1035,
1039,
1041,
1042,
1045,
1050,
1051,
1054,
1059,
1060,
1062,
1063,
1064,
1065,
1066,
1069,
1070,
1074,
1080,
1082,
1083,
1084,
1087,
1088,
1089,
1092,
1093,
1094,
1013,1611
694,1628
323,1630
1038,1635
1071,1636
,1637
,1639
,1641
,1654
,1657
,1658
,1660
,1661
,1662
,1663
,1664
,1668
,1670
,1671
,1673
,1674
,1678
364,
547,
1095,
219,
132,
231,
346,
703,
1046,
173,
511,
,
