"id","restaurant_id","day_start","time_start","day_stop","time_stop","type","enabled","created_at","updated_at"
53,0,7,"10:00:00",7,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
54,0,1,"16:00:00",1,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
55,0,2,"16:00:00",2,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
56,0,3,"16:00:00",3,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
57,0,4,"11:00:00",4,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
58,0,5,"11:00:00",5,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
59,0,6,"11:00:00",6,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
60,0,7,"16:00:00",7,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
61,0,1,"11:00:00",1,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
62,0,2,"11:00:00",2,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
63,0,3,"11:00:00",3,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
64,0,4,"11:00:00",4,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
65,0,5,"11:00:00",5,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
66,0,6,"11:00:00",6,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
67,0,7,"15:00:00",7,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
68,0,1,"16:00:00",1,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
69,0,2,"11:00:00",2,"14:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
70,0,2,"16:00:00",2,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
71,0,3,"11:00:00",3,"14:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
72,0,3,"16:00:00",3,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
73,0,4,"11:00:00",4,"14:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
74,0,4,"16:00:00",4,"22:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
75,0,5,"11:00:00",5,"14:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
76,0,5,"16:00:00",5,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
77,0,6,"16:00:00",6,"23:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
78,0,7,"16:00:00",7,"21:00:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
79,0,1,"16:00:00",1,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
80,0,2,"16:00:00",2,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
81,0,3,"16:00:00",3,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
82,0,4,"16:00:00",4,"23:59:00","t","y","2025-09-22 15:23:41","2025-09-22 15:23:41"
