id,suspend_operation,suspended_at,coming_soon,vacation,vacation_start,vacation_stop,suspend_ordering,suspend_ordering_start,suspend_ordering_stop,active,pending
1166,2,,2,2,,,2,,,2,2
1167,2,,2,2,,,2,,,2,2
1168,2,,2,2,,,2,,,2,2
1169,2,,2,2,,,2,,,2,2
1170,2,,2,2,,,2,,,2,2
1171,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1172,2,,2,2,,,2,,,2,2
1173,2,,2,2,,,2,,,2,2
1174,2,,2,2,,,2,,,2,2
1175,2,,2,2,,,2,,,2,2
1176,2,,2,2,,,2,,,2,2
1177,2,,2,2,,,2,,,2,2
1178,2,,2,2,,,2,,,2,2
1179,2,,2,2,,,2,,,2,2
1180,2,,2,2,,,2,,,2,2
1181,2,,2,2,,,2,,,2,2
1182,2,,2,2,,,2,,,2,2
1183,2,,2,2,,,2,,,2,2
1184,2,,2,2,,,2,,,2,2
1185,2,,2,2,,,2,,,2,2
1186,2,,2,2,,,2,,,2,2
1187,2,,2,2,,,2,,,2,2
1188,2,,2,2,,,2,,,2,2
1189,2,,2,2,,,2,,,2,2
1190,2,,2,2,,,2,,,2,2
1191,2,,2,2,,,2,,,2,2
1192,2,,2,2,,,2,,,2,2
1193,2,,2,2,,,2,,,2,2
1194,2,,2,2,,,2,,,2,2
1195,2,,2,2,,,2,,,2,2
1196,2,,2,2,,,2,,,2,2
1197,2,,2,2,,,2,,,2,2
1198,2,,2,2,,,2,,,2,2
1199,2,,1,2,,,2,,,2,1
1200,2,,2,2,,,2,,,2,2
1201,2,,2,2,,,2,,,2,2
1202,2,,2,2,,,2,,,2,2
1203,2,,2,2,,,2,,,2,2
1204,2,,2,2,,,2,,,2,2
1205,2,,1,2,,,2,,,2,1
1206,2,,2,2,,,2,,,2,2
1207,2,,2,2,,,2,,,2,2
1208,2,,2,2,,,2,,,2,2
1209,2,,2,2,,,2,,,2,2
1210,2,,2,2,,,2,,,2,2
1211,2,,2,2,,,2,,,2,2
1212,2,,2,2,,,2,,,2,2
1213,2,,2,2,,,2,,,2,2
1214,2,,2,2,,,2,,,2,2
1215,2,,2,2,,,2,,,2,2
1216,2,,2,2,,,2,,,2,2
1217,2,,2,2,,,2,,,2,2
1218,2,,2,2,,,2,,,2,2
1219,2,,2,2,,,2,,,2,2
1220,2,,2,2,,,2,,,2,2
1221,2,,2,2,,,2,,,2,2
1222,2,,2,2,,,2,,,2,2
1223,2,,2,2,,,2,,,2,2
1224,2,,2,2,,,2,,,2,2
1225,2,,2,2,,,2,,,2,2
1226,2,,2,2,,,2,,,2,2
1227,2,,2,2,,,2,,,2,2
1228,2,,2,2,,,2,,,2,2
1229,2,,2,2,,,2,,,2,2
1230,2,,2,2,,,2,,,2,2
1231,2,,2,2,,,2,,,2,2
1232,2,,2,2,,,2,,,2,2
1233,2,,2,2,,,2,,,2,2
1234,2,,2,2,,,2,,,2,2
1235,2,,2,2,,,2,,,2,2
1236,2,,2,2,,,2,,,2,2
1237,2,,2,2,,,2,,,2,2
1238,2,,2,2,,,2,,,2,2
1239,2,,2,2,,,2,,,2,2
1240,2,,2,2,,,2,,,2,2
1241,2,,2,2,,,2,,,2,2
1242,2,,2,2,,,2,,,2,2
1243,2,,2,2,,,2,,,2,2
1244,2,,2,2,,,2,,,2,2
1245,2,,2,2,,,2,,,2,2
1246,2,,2,2,,,2,,,2,2
1247,2,,2,2,,,2,,,2,2
1248,2,,2,2,,,2,,,2,2
1249,2,,2,2,,,2,,,2,2
1250,2,,2,2,,,2,,,2,2
1251,2,,2,2,,,2,,,2,2
1252,2,,2,2,,,2,,,2,2
1253,2,,2,2,,,2,,,2,2
1254,2,,2,2,,,2,,,2,2
1255,2,,2,2,,,2,,,2,2
1256,2,,2,2,,,2,,,2,2
1257,2,,2,2,,,2,,,2,2
1258,2,,2,2,,,2,,,2,2
1259,2,,2,2,,,2,,,2,2
1260,2,,2,2,,,2,,,2,2
1261,2,,2,2,,,2,,,2,2
1262,2,,2,2,,,2,,,2,2
1263,2,,2,2,,,2,,,2,2
1264,2,,2,2,,,2,,,2,2
1265,2,,2,2,,,2,,,2,2
1266,2,,2,2,,,2,,,2,2
1267,2,,2,2,,,2,,,2,2
1268,2,,2,2,,,2,,,2,2
1269,2,,2,2,,,2,,,2,2
1270,2,,1,2,,,2,,,2,1
1271,2,,2,2,,,2,,,2,2
1272,2,,2,2,,,2,,,2,2
1273,2,,1,2,,,2,,,2,1
1274,2,,2,2,,,2,,,2,2
1275,2,,2,2,,,2,,,2,2
1276,2,,2,2,,,2,,,2,2
1277,2,,2,2,,,2,,,2,2
1278,2,,2,2,,,2,,,2,2
1279,2,,2,2,,,2,,,2,2
1280,2,,2,2,,,2,,,2,2
1281,2,,2,2,,,2,,,2,2
1282,2,,2,2,,,2,,,2,2
1283,2,,2,2,,,2,,,2,2
1284,2,,2,2,,,2,,,2,2
1285,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1286,2,,2,2,,,2,,,2,2
1287,2,,2,2,,,2,,,2,2
