id,restaurant_id,day_start,time_start,day_stop,time_stop,type,enabled
1660,1638,4,11:00:00,4,20:00:00,t,y
1661,1638,5,11:00:00,5,21:00:00,t,y
1662,1638,6,11:00:00,6,21:00:00,t,y
1663,1665,1,11:00:00,1,23:00:00,d,n
1664,1665,2,11:00:00,2,23:00:00,d,n
1665,1665,3,11:00:00,3,23:00:00,d,n
1666,1665,4,11:00:00,4,23:00:00,d,n
1667,1665,5,11:00:00,5,23:00:00,d,n
1668,1665,6,11:00:00,6,23:00:00,d,n
1669,1665,7,11:00:00,7,23:00:00,d,n
1670,1665,1,08:00:00,1,23:00:00,t,n
1671,1665,2,08:00:00,2,23:00:00,t,n
1672,1665,3,08:00:00,3,23:00:00,t,n
1673,1665,4,08:00:00,4,23:00:00,t,n
1674,1665,5,08:00:00,5,23:00:00,t,n
1675,1665,6,08:00:00,6,23:00:00,t,n
1676,1665,7,08:00:00,7,23:00:00,t,n
1677,1665,1,11:00:00,1,23:00:00,t,n
1678,1665,2,11:00:00,2,23:00:00,t,n
1679,1665,3,11:00:00,3,23:00:00,t,n
1680,1665,4,11:00:00,4,23:00:00,t,n
1681,1665,5,11:00:00,5,23:00:00,t,n
1682,1665,6,11:00:00,6,23:00:00,t,n
1683,1665,7,11:00:00,7,23:00:00,t,n
1684,1665,1,11:00:00,2,00:00:00,t,y
1685,1665,2,11:00:00,3,00:00:00,t,y
1686,1665,3,11:00:00,4,00:00:00,t,y
1687,1665,4,11:00:00,5,00:00:00,t,y
1688,1665,5,11:00:00,6,02:00:00,t,y
1689,1665,6,11:00:00,7,02:00:00,t,y
1690,1665,7,11:00:00,1,00:00:00,t,y
1691,1665,1,11:00:00,2,00:00:00,d,y
1692,1665,2,11:00:00,3,00:00:00,d,y
1693,1665,3,11:00:00,4,00:00:00,d,y
1694,1665,4,11:00:00,5,00:00:00,d,y
1695,1665,5,11:00:00,6,02:00:00,d,y
1696,1665,6,11:00:00,7,02:00:00,d,y
1697,1665,7,11:00:00,1,00:00:00,d,y
1698,1661,1,14:30:00,1,21:00:00,t,y
1699,1661,2,14:30:00,2,21:00:00,t,y
1700,1661,3,11:00:00,3,21:00:00,t,y
1701,1661,4,11:00:00,4,21:30:00,t,y
1702,1661,5,11:00:00,5,21:30:00,t,y
1703,1661,6,11:00:00,6,21:30:00,t,y
1704,1661,7,15:00:00,7,21:00:00,t,y
1705,1661,1,14:30:00,1,21:00:00,d,y
1706,1661,2,14:30:00,2,21:00:00,d,y
1707,1661,3,11:00:00,3,21:00:00,d,y
1708,1661,4,11:00:00,4,21:30:00,d,y
1709,1661,5,11:00:00,5,21:30:00,d,y
1710,1661,6,11:00:00,6,21:30:00,d,y
1711,1661,7,15:00:00,7,21:00:00,d,y
1712,1654,1,11:00:00,1,21:00:00,t,n
1713,1654,2,11:00:00,2,21:00:00,t,n
1714,1654,3,11:00:00,3,21:00:00,t,n
1715,1654,4,11:00:00,4,21:00:00,t,n
1716,1654,5,11:00:00,5,22:00:00,t,n
1717,1654,6,13:00:00,6,21:00:00,t,n
1718,1654,1,11:00:00,1,21:00:00,t,y
1719,1654,2,11:00:00,2,21:00:00,t,y
1720,1654,3,11:00:00,3,21:00:00,t,y
1721,1654,4,11:00:00,4,21:00:00,t,y
