id,restaurant_id,date_start,date_stop,schedule_type,reason,apply_to,enabled,added_by,added_at,updated_by,updated_at
60,1668,2024-09-02 15:02:41,2024-09-03 01:00:00,c,,t,y,1,2024-09-02 11:02:41,,
61,1659,2025-02-13 16:00:00,2025-02-15 04:00:00,c,,t,n,2,2025-02-13 17:21:59,2,2025-02-13 17:39:29
62,1659,2025-02-13 22:40:01,2025-02-14 01:00:00,c,,t,n,2,2025-02-13 17:40:01,2,2025-02-13 17:40:07
63,1659,2025-02-14 12:49:59,2025-02-15 01:00:00,c,,t,n,2,2025-02-14 07:49:59,2,2025-02-14 07:50:08
64,1641,2025-04-18 15:45:00,2025-04-18 18:00:00,c,,t,y,81,2025-04-18 11:45:04,,
65,1171,,,c,,t,n,45,2025-04-20 08:38:17,45,2025-04-20 08:39:32
66,1171,,,c,,t,n,45,2025-04-20 08:39:40,45,2025-04-20 08:40:41
67,1171,2025-04-20 13:00:00,2025-04-21 03:00:00,c,,t,n,45,2025-04-20 08:40:59,,
68,1171,2025-04-20 12:00:00,2025-04-21 03:00:00,c,,t,y,45,2025-04-20 08:41:44,,
69,1641,2025-05-09 02:45:00,2025-05-09 19:45:00,c,vacation,t,n,81,2025-05-08 22:33:02,81,2025-08-25 13:15:03
70,1595,2025-06-17 15:00:00,2025-06-18 15:00:00,c,,t,y,45,2025-06-17 15:03:32,,
71,1642,2025-06-17 20:00:00,2025-06-18 20:00:00,c,,t,n,45,2025-06-17 15:04:25,,
72,1642,2025-06-17 19:00:00,2025-06-18 19:00:00,c,,t,y,45,2025-06-17 15:07:15,,
73,1595,2025-06-19 18:31:13,2025-06-20 03:00:00,c,,t,y,50,2025-06-19 14:31:13,,
74,1595,2025-06-19 18:31:16,2025-06-20 03:00:00,c,,t,y,50,2025-06-19 14:31:16,,
75,1595,2025-06-20 15:00:00,2025-06-21 07:00:00,c,,t,n,50,2025-06-19 14:31:17,50,2025-06-19 14:31:35
76,1595,2025-06-19 18:31:18,2025-06-23 03:00:00,c,,t,y,50,2025-06-19 14:31:18,,
77,1641,2025-07-01 20:00:00,2025-07-03 01:00:00,c,,t,y,45,2025-07-01 10:05:09,,
78,1595,2025-07-01 11:00:00,2025-07-03 03:00:00,c,,t,y,45,2025-07-01 10:05:45,,
79,1641,2025-07-01 05:45:00,2025-07-03 01:45:00,c,vacation,t,n,81,2025-07-01 13:45:42,81,2025-08-25 13:15:03
80,1674,2025-07-09 11:50:46,2025-07-10 02:45:00,c,,t,y,2,2025-07-09 07:50:46,,
81,1642,2025-07-11 14:15:00,2025-07-15 14:15:00,c,,t,n,2,2025-07-11 10:09:49,2,2025-07-11 10:11:10
82,1642,2025-07-11 14:00:00,2025-07-15 14:15:00,c,,t,n,2,2025-07-11 10:10:30,2,2025-07-11 10:11:28
83,1642,2025-07-11 14:00:00,2025-07-15 14:15:00,c,vacation,t,y,2,2025-07-11 10:11:45,,
84,1641,2025-07-17 20:00:00,2025-07-18 01:00:00,c,vacation,t,n,81,2025-07-16 10:05:19,81,2025-07-16 10:05:28
85,1641,2025-07-17 13:00:00,2025-07-17 19:00:00,c,vacation,t,n,81,2025-07-16 10:05:56,81,2025-08-25 13:15:03
86,1663,2025-07-18 01:07:36,2025-07-18 01:30:00,c,,t,y,2,2025-07-17 21:07:36,,
125,1641,2025-08-11 22:00:00,2025-08-14 03:00:00,c,vacation,t,n,81,2025-08-11 11:58:44,81,2025-08-25 13:15:03
126,1641,2025-08-26 20:00:00,2025-08-31 01:00:00,c,vacation,t,n,81,2025-08-25 13:13:07,81,2025-08-25 13:15:03
127,1641,2025-08-26 20:00:00,2025-08-27 01:00:00,c,vacation,t,n,81,2025-08-25 13:13:40,81,2025-08-25 13:13:50
128,1641,2025-08-25 18:00:00,2025-09-02 01:00:00,c,vacation,t,y,81,2025-08-25 13:14:48,,
129,1659,2025-09-05 04:15:00,2025-09-30 04:15:00,c,vacation,t,n,1,2025-09-04 17:13:40,1,2025-09-04 17:14:20
130,1659,2025-09-05 04:10:00,2025-10-01 03:59:00,c,vacation,t,n,1,2025-09-04 17:14:16,1,2025-09-04 17:14:43
131,1659,2025-09-04 21:00:00,2025-09-30 12:00:00,c,vacation,t,n,1,2025-09-04 17:15:21,1,2025-09-04 17:16:00
132,1659,2025-09-04 21:15:00,2025-10-01 03:15:00,c,,t,n,1,2025-09-04 17:16:21,1,2025-09-04 17:16:48
133,1659,2025-09-04 21:15:00,2025-10-01 03:15:00,c,,t,y,1,2025-09-04 17:16:54,,
